Recency,Frequency,Monetary,LIFESTAGE,PREMIUM_CUSTOMER
164,1,6.0,YOUNG SINGLES/COUPLES,Premium
195,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
22,2,6.6,YOUNG FAMILIES,Budget
148,1,1.9,OLDER SINGLES/COUPLES,Mainstream
92,1,2.8,MIDAGE SINGLES/COUPLES,Mainstream
115,2,6.5,YOUNG SINGLES/COUPLES,Budget
130,1,5.7,NEW FAMILIES,Premium
106,2,13.9,YOUNG SINGLES/COUPLES,Mainstream
101,4,18.0,OLDER SINGLES/COUPLES,Mainstream
15,1,5.7,OLDER FAMILIES,Mainstream
23,2,8.1,RETIREES,Budget
122,2,7.6,YOUNG SINGLES/COUPLES,Mainstream
62,1,3.1,OLDER SINGLES/COUPLES,Premium
179,2,8.3,YOUNG SINGLES/COUPLES,Mainstream
157,1,4.6,OLDER FAMILIES,Budget
38,1,3.0,YOUNG SINGLES/COUPLES,Premium
129,1,6.0,YOUNG FAMILIES,Budget
112,1,2.1,MIDAGE SINGLES/COUPLES,Premium
229,2,8.1,OLDER FAMILIES,Premium
1,2,6.8,RETIREES,Premium
113,1,6.0,OLDER FAMILIES,Mainstream
151,1,3.0,YOUNG FAMILIES,Mainstream
23,3,8.3,YOUNG SINGLES/COUPLES,Premium
42,1,3.3,YOUNG FAMILIES,Budget
45,1,4.2,YOUNG SINGLES/COUPLES,Budget
65,3,12.100000000000001,OLDER FAMILIES,Mainstream
186,1,5.8,YOUNG SINGLES/COUPLES,Budget
206,1,3.3,MIDAGE SINGLES/COUPLES,Budget
235,1,4.4,MIDAGE SINGLES/COUPLES,Mainstream
53,2,7.5,NEW FAMILIES,Mainstream
265,1,2.6,RETIREES,Mainstream
34,3,16.2,MIDAGE SINGLES/COUPLES,Mainstream
180,1,8.4,YOUNG SINGLES/COUPLES,Mainstream
48,2,4.4,YOUNG FAMILIES,Premium
36,2,6.4,YOUNG FAMILIES,Budget
187,2,5.5,MIDAGE SINGLES/COUPLES,Premium
154,1,1.7,OLDER SINGLES/COUPLES,Mainstream
79,2,4.6,YOUNG SINGLES/COUPLES,Premium
70,1,4.6,YOUNG FAMILIES,Mainstream
246,1,5.8,NEW FAMILIES,Premium
71,1,2.6,RETIREES,Budget
30,2,4.9,RETIREES,Budget
11,3,11.299999999999999,MIDAGE SINGLES/COUPLES,Budget
45,2,6.5,YOUNG SINGLES/COUPLES,Budget
248,1,4.4,RETIREES,Premium
193,1,3.8,YOUNG SINGLES/COUPLES,Budget
7,1,3.0,RETIREES,Mainstream
53,1,4.2,NEW FAMILIES,Budget
94,1,3.4,RETIREES,Premium
6,2,7.6,NEW FAMILIES,Budget
79,1,3.0,RETIREES,Mainstream
271,1,3.7,OLDER SINGLES/COUPLES,Premium
65,2,13.8,RETIREES,Budget
33,2,6.2,OLDER SINGLES/COUPLES,Premium
256,1,3.0,RETIREES,Mainstream
253,1,2.1,OLDER FAMILIES,Budget
24,1,2.9,OLDER FAMILIES,Budget
200,1,8.8,RETIREES,Mainstream
2,1,2.1,RETIREES,Premium
264,1,2.9,OLDER SINGLES/COUPLES,Mainstream
103,1,2.9,OLDER SINGLES/COUPLES,Mainstream
177,1,4.2,RETIREES,Premium
4,1,4.4,YOUNG SINGLES/COUPLES,Mainstream
192,3,10.3,OLDER FAMILIES,Premium
32,2,15.5,OLDER SINGLES/COUPLES,Premium
25,1,5.1,OLDER SINGLES/COUPLES,Mainstream
217,2,6.6,RETIREES,Mainstream
188,1,4.4,YOUNG SINGLES/COUPLES,Mainstream
